experiment,PassiveBefore,PassiveAfter,ActiveBefore,ActiveAfter
2W1100C1B,1154,220,1,1
2W1100C20B,1387,221,114,13
2W1100C25B,1952,221,154,18
2W1100C2B,1117,220,3,2
2W1100C5B,1289,221,5,5
2W1200C10B,1498,241,137,5
2W1200C15B,1642,242,98,8
2W1200C1B,1201,241,1,1
2W1200C20B,1458,241,285,7
2W1200C25B,2536,242,279,11
2W1200C2B,1221,241,2,2
2W1200C5B,1500,241,32,2
2W1300C10B,1447,261,99,7
2W1300C15B,1678,261,346,2
2W1300C1B,1394,261,1,1
2W1300C20B,1875,261,335,2
2W1300C24B,2496,262,356,3
2W1300C2B,1364,261,2,2
2W1300C5B,1511,261,16,5
2W200C10B,1171,68,12,10
2W200C15B,1628,44,17,15
2W200C1B,309,101,2,1
2W200C20B,1944,41,33,18
2W200C25B,2772,25,39,24
2W200C2B,349,101,4,2
2W200C5B,679,101,7,5
2W300C10B,1631,101,15,10
2W300C15B,2042,65,19,15
2W300C1B,717,102,2,1
2W300C20B,2746,66,30,20
2W300C25B,3778,37,71,23
2W300C2B,795,103,3,2
2W300C5B,1004,102,6,5
2W400C10B,1571,135,11,10
2W400C15B,2042,135,18,15
2W400C1B,613,133,1,1
2W400C20B,2775,81,21,20
2W400C25B,3988,82,60,25
2W400C2B,751,132,3,2
2W400C5B,1095,135,7,5
2W500C10B,1860,169,10,10
2W500C15B,2331,107,32,15
2W500C1B,683,168,1,1
2W500C20B,2687,102,47,20
2W500C25B,2634,168,60,25
2W500C2B,818,167,2,2
2W500C5B,1100,170,5,5
2W600C10B,1398,201,28,8
2W600C15B,1669,121,34,15
2W600C1B,664,121,1,1
2W600C20B,2199,121,65,12
2W600C25B,2687,201,145,20
2W600C2B,695,121,2,2
2W600C5B,990,201,7,5
2W700C10B,1344,141,26,7
2W700C15B,1639,141,42,11
2W700C1B,746,141,2,1
2W700C20B,1969,141,77,15
2W700C25B,2356,141,88,21
2W700C2B,791,141,4,2
2W700C5B,918,141,10,5
2W800C10B,1220,161,32,8
