shows the number of passive trajectories that has only one group
experiment, passiveTracked, passiveAfter
2W1300C2B, 1364, 1328
2W1300C5B, 1511, 1414
2W200C10B, 1171, 863
2W200C15B, 1628, 1220
2W200C1B, 309, 219
2W200C20B, 1944, 1470
2W200C25B, 2772, 2046
2W200C2B, 349, 269
2W200C5B, 679, 516
2W300C10B, 1631, 1239
2W300C15B, 2042, 1606
2W300C1B, 717, 486
2W300C20B, 2746, 2092
2W300C25B, 3778, 2718
2W300C2B, 795, 542
2W300C5B, 1004, 800
2W400C10B, 1571, 1228
2W400C15B, 2042, 1566
2W400C1B, 613, 444
2W400C20B, 2775, 2141
2W400C25B, 3988, 2913
2W400C2B, 751, 569
2W400C5B, 1095, 879
2W500C10B, 1860, 1480
2W500C15B, 2331, 1719
2W500C1B, 683, 580
2W500C20B, 2687, 1947
2W500C25B, 2634, 1968
2W500C2B, 818, 678
2W500C5B, 1100, 926
2W600C10B, 1398, 1176
2W600C15B, 1669, 1368
2W600C1B, 664, 644
2W600C20B, 2199, 1738
2W600C25B, 2687, 2033
2W600C2B, 695, 673
2W600C5B, 990, 900
2W700C10B, 1344, 1148
2W700C15B, 1639, 1409
2W700C1B, 746, 734
2W700C20B, 1969, 1561
2W700C25B, 2356, 1787
2W700C2B, 791, 780
2W700C5B, 918, 881
2W800C10B, 1220, 1093
2W800C15B, 1366, 1177
2W800C1B, 814, 811
2W800C20B, 1626, 1318
2W800C25B, 1932, 1525
2W800C2B, 1090, 988
2W800C5B, 1047, 972
2W900C10B, 1375, 1209
2W900C15B, 1286, 1156
2W900C1B, 936, 924
2W900C20B, 1526, 1242
2W900C25B, 1867, 1525
2W900C2B, 966, 952
2W900C5B, 1203, 1091
3W1000C10B, 1182, 1123
3W1000C15B, 1291, 1179
3W1000C1B, 1003, 1001
3W1000C20B, 1257, 1143
3W1000C25B, 1313, 1222
3W1000C2B, 1058, 1046
3W1000C5B, 1248, 1134
3W100C10B, 849, 632
3W100C15B, 1146, 862
3W100C1B, 214, 155
3W100C20B, 1685, 1270
3W100C25B, 2197, 1724
3W100C2B, 479, 347
3W100C5B, 704, 515
3W1100C10B, 1272, 1224
3W1100C15B, 1610, 1395
3W1100C1B, 1118, 1107
3W1100C20B, 1691, 1427
3W1100C25B, 1863, 1462
3W1100C2B, 1182, 1145
3W1100C5B, 1251, 1201
3W1200C10B, 1274, 1250
3W1200C15B, 1309, 1292
3W1200C1B, 1207, 1205
3W1200C20B, 1549, 1433
3W1200C25B, 1593, 1444
3W1200C2B, 1245, 1227
3W1200C5B, 1213, 1211
3W1300C10B, 2125, 1709
3W1300C15B, 2433, 1831
3W1300C1B, 1302, 1301
3W1300C20B, 2250, 1787
3W1300C25B, 3156, 2248
3W1300C2B, 1309, 1307
3W1300C5B, 1549, 1442
3W200C10B, 1270, 965
3W200C15B, 1904, 1406
3W200C1B, 346, 240
3W200C20B, 2239, 1732
3W200C25B, 3239, 2442
3W200C2B, 437, 352
3W200C5B, 826, 656
3W300C10B, 1352, 1136
3W300C15B, 1922, 1612
3W300C1B, 483, 383
3W300C20B, 2453, 1946
3W300C25B, 3096, 2392
3W300C2B, 529, 444
3W300C5B, 916, 806
3W400C10B, 1299, 1145
3W400C15B, 1926, 1588
3W400C1B, 632, 523
3W400C20B, 2977, 2241
3W400C25B, 3024, 2316
3W400C2B, 705, 587
3W400C5B, 867, 771
3W500C10B, 1505, 1290
3W500C15B, 1966, 1611
3W500C1B, 605, 581
3W500C20B, 3101, 2400
3W500C25B, 3124, 2358
3W500C2B, 685, 639
3W500C5B, 938, 838
3W600C10B, 1422, 1181
3W600C15B, 1980, 1599
3W600C1B, 657, 642
3W600C20B, 2600, 1937
3W600C25B, 3884, 2683
3W600C2B, 759, 728
3W600C5B, 1196, 1037
3W700C10B, 1409, 1144
3W700C15B, 2437, 1826
3W700C1B, 796, 768
3W700C20B, 2688, 1915
3W700C25B, 3624, 2531
3W700C2B, 931, 879
3W700C5B, 1182, 1033
3W800C10B, 1346, 1185
3W800C15B, 1928, 1522
3W800C1B, 824, 818
3W800C20B, 2292, 1684
3W800C25B, 2837, 2072
3W800C2B, 894, 873
3W800C5B, 1022, 966
3W900C10B, 1125, 1042
3W900C15B, 1250, 1116
3W900C1B, 926, 920
3W900C20B, 1396, 1237
3W900C25B, 1568, 1282
3W900C2B, 931, 925
3W900C5B, 990, 957
