shows the number of passive trajectories after some filter
experiment, True, Tracked, OneGroup, FramesThreshold, Remains
1W200C1B, 200, 241, 220, 100, 220
1W200C20B, 200, 1675, 1258, 200, 169
1W200C25B, 200, 2288, 1725, 200, 167
1W200C2B, 200, 289, 261, 200, 182
1W200C5B, 200, 407, 360, 200, 183
1W300C10B, 300, 955, 762, 200, 286
1W300C15B, 300, 1414, 1110, 200, 284
1W300C1B, 300, 353, 324, 100, 324
1W300C20B, 300, 1539, 1238, 200, 279
1W300C25B, 300, 2534, 1948, 200, 277
1W300C2B, 300, 418, 383, 200, 292
1W300C5B, 300, 580, 493, 200, 292
1W400C10B, 400, 913, 784, 200, 388
1W400C15B, 400, 1391, 1156, 200, 387
1W400C1B, 400, 452, 441, 100, 441
1W400C20B, 400, 1696, 1377, 200, 387
1W400C25B, 400, 2187, 1744, 200, 379
1W400C2B, 400, 462, 441, 100, 441
1W400C5B, 400, 634, 594, 200, 394
1W500C10B, 500, 1066, 939, 200, 490
1W500C15B, 500, 1322, 1146, 200, 486
1W500C1B, 500, 542, 533, 100, 533
1W500C20B, 500, 1539, 1289, 200, 487
1W500C25B, 500, 1898, 1517, 200, 487
1W500C2B, 500, 560, 546, 100, 546
1W500C5B, 500, 691, 650, 200, 492
1W600C10B, 600, 1015, 955, 200, 592
1W600C15B, 600, 1518, 1291, 200, 593
1W600C1B, 600, 625, 619, 100, 619
1W600C20B, 600, 1686, 1363, 200, 591
1W600C25B, 600, 1925, 1584, 200, 591
1W600C2B, 600, 667, 653, 100, 653
1W600C5B, 600, 772, 733, 200, 597
1W700C10B, 700, 1316, 1133, 200, 699
1W700C15B, 700, 1672, 1369, 200, 700
1W700C1B, 700, 951, 863, 200, 700
1W700C20B, 700, 1685, 1390, 200, 694
1W700C25B, 700, 2248, 1797, 200, 699
1W700C2B, 700, 1053, 924, 200, 700
1W700C5B, 700, 1038, 920, 200, 700
1W800C10B, 800, 1037, 984, 200, 800
1W800C15B, 800, 1171, 1052, 200, 800
1W800C1B, 800, 811, 811, 100, 811
1W800C20B, 800, 1633, 1355, 200, 799
1W800C25B, 800, 2019, 1559, 200, 799
1W800C2B, 800, 836, 830, 100, 830
1W800C5B, 800, 926, 898, 200, 800
1W900C10B, 900, 1150, 1065, 200, 899
1W900C15B, 900, 1380, 1221, 200, 900
1W900C1B, 900, 975, 950, 100, 950
1W900C20B, 900, 1508, 1298, 200, 899
1W900C25B, 900, 1820, 1480, 200, 897
1W900C2B, 900, 964, 937, 100, 937
1W900C5B, 900, 1136, 1086, 200, 900
2W1000C10B, 1000, 1217, 1152, 200, 1000
2W1000C15B, 1000, 1427, 1262, 200, 1000
2W1000C1B, 1000, 1008, 1008, 100, 1008
2W1000C20B, 1000, 1386, 1243, 200, 1000
2W1000C25B, 1000, 1591, 1366, 200, 1000
2W1000C2B, 1000, 1031, 1016, 100, 1016
2W1000C5B, 1000, 1059, 1048, 100, 1048
2W100C10B, 100, 1480, 954, 200, 69
2W100C15B, 100, 1976, 1361, 200, 69
2W100C1B, 100, 350, 220, 200, 80
2W100C20B, 100, 4349, 2963, 200, 62
2W100C25B, 100, 2435, 1853, 200, 76
2W100C2B, 100, 508, 333, 200, 78
2W100C5B, 100, 857, 571, 200, 74
2W1100C10B, 1100, 1371, 1256, 200, 1100
2W1100C15B, 1100, 1302, 1241, 200, 1100
2W1100C1B, 1100, 1154, 1118, 100, 1118
2W1100C20B, 1100, 1387, 1283, 200, 1100
2W1100C25B, 1100, 1952, 1594, 200, 1100
2W1100C2B, 1100, 1117, 1113, 100, 1113
2W1100C5B, 1100, 1289, 1215, 200, 1100
2W1200C10B, 1200, 1498, 1365, 200, 1200
2W1200C15B, 1200, 1642, 1437, 200, 1198
2W1200C1B, 1200, 1201, 1201, 100, 1201
2W1200C20B, 1200, 1458, 1386, 200, 1198
2W1200C25B, 1200, 2536, 1951, 200, 1193
2W1200C2B, 1200, 1221, 1220, 100, 1220
2W1200C5B, 1200, 1500, 1386, 200, 1200
2W1300C10B, 1300, 1447, 1416, 200, 1298
2W1300C15B, 1300, 1678, 1457, 200, 1297
2W1300C1B, 1300, 1394, 1351, 100, 1351
2W1300C20B, 1300, 1875, 1580, 200, 1297
2W1300C24B, 1300, 2496, 1953, 200, 1296
2W1300C2B, 1300, 1364, 1328, 100, 1328
2W1300C5B, 1300, 1511, 1414, 200, 1300
2W200C10B, 200, 1171, 863, 200, 160
2W200C15B, 200, 1628, 1220, 200, 157
2W200C1B, 200, 309, 219, 100, 219
2W200C20B, 200, 1944, 1470, 200, 151
2W200C25B, 200, 2772, 2046, 200, 153
2W200C2B, 200, 349, 269, 200, 161
2W200C5B, 200, 679, 516, 200, 160
2W300C10B, 300, 1631, 1239, 200, 251
2W300C15B, 300, 2042, 1606, 200, 254
2W300C1B, 300, 717, 486, 200, 271
2W300C20B, 300, 2746, 2092, 200, 245
2W300C25B, 300, 3778, 2718, 200, 241
2W300C2B, 300, 795, 542, 200, 269
2W300C5B, 300, 1004, 800, 200, 260
2W400C10B, 400, 1571, 1228, 200, 351
2W400C15B, 400, 2042, 1566, 200, 350
2W400C1B, 400, 613, 444, 100, 444
2W400C20B, 400, 2775, 2141, 200, 351
2W400C25B, 400, 3988, 2913, 200, 343
2W400C2B, 400, 751, 569, 200, 364
2W400C5B, 400, 1095, 879, 200, 358
2W500C10B, 500, 1860, 1480, 200, 467
2W500C15B, 500, 2331, 1719, 200, 466
2W500C1B, 500, 683, 580, 200, 479
2W500C20B, 500, 2687, 1947, 200, 465
2W500C25B, 500, 2634, 1968, 200, 480
2W500C2B, 500, 818, 678, 200, 474
2W500C5B, 500, 1100, 926, 200, 474
2W600C10B, 600, 1398, 1176, 200, 593
2W600C15B, 600, 1669, 1368, 200, 593
2W600C1B, 600, 664, 644, 100, 644
2W600C20B, 600, 2199, 1738, 200, 595
2W600C25B, 600, 2687, 2033, 200, 596
2W600C2B, 600, 695, 673, 200, 597
